Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
206,30/09/2025 00:39:04,S12 03.703 W77 01.119,140,0:01:00,8
207,30/09/2025 00:40:04,S12 03.703 W77 01.119,1,0:01:00,0
208,30/09/2025 00:40:09,S12 03.705 W77 01.129,20,0:00:05,14
209,30/09/2025 00:41:05,S12 03.713 W77 01.189,109,0:00:56,7
210,30/09/2025 00:41:08,S12 03.710 W77 01.192,8,0:00:03,9
211,30/09/2025 00:41:27,S12 03.651 W77 01.202,111,0:00:19,21
212,30/09/2025 00:41:39,S12 03.639 W77 01.205,23,0:00:12,7
213,30/09/2025 00:41:41,S12 03.638 W77 01.206,4,0:00:02,7
214,30/09/2025 00:41:46,S12 03.638 W77 01.214,14,0:00:05,10
215,30/09/2025 00:42:46,S12 03.642 W77 01.257,78,0:01:00,5
216,30/09/2025 00:42:51,S12 03.643 W77 01.261,7,0:00:05,5
217,30/09/2025 00:42:52,S12 03.643 W77 01.262,2,0:00:01,9
218,30/09/2025 00:43:52,S12 03.651 W77 01.339,140,0:01:00,8
219,30/09/2025 00:44:02,S12 03.650 W77 01.342,5,0:00:10,2
220,30/09/2025 00:45:02,S12 03.665 W77 01.426,155,0:01:00,9
221,30/09/2025 00:46:02,S12 03.694 W77 01.649,407,0:01:00,24
222,30/09/2025 00:47:02,S12 03.704 W77 01.743,172,0:01:00,10
223,30/09/2025 00:48:02,S12 03.706 W77 01.746,7,0:01:00,0
224,30/09/2025 00:49:02,S12 03.706 W77 01.746,0,0:01:00,0
225,30/09/2025 00:49:52,S12 03.729 W77 01.906,292,0:00:50,21
226,30/09/2025 00:49:54,S12 03.733 W77 01.906,6,0:00:02,11
227,30/09/2025 00:50:25,S12 03.805 W77 01.899,134,0:00:31,16
228,30/09/2025 00:50:27,S12 03.806 W77 01.902,5,0:00:02,10
229,30/09/2025 00:51:27,S12 03.815 W77 01.995,169,0:01:00,10
230,30/09/2025 00:52:27,S12 03.814 W77 01.997,5,0:01:00,0
231,30/09/2025 00:53:27,S12 03.831 W77 02.101,191,0:01:00,11
232,30/09/2025 00:54:27,S12 03.838 W77 02.151,92,0:01:00,6
233,30/09/2025 00:55:27,S12 03.838 W77 02.155,7,0:01:00,0
234,30/09/2025 00:55:34,S12 03.842 W77 02.176,38,0:00:07,19
235,30/09/2025 00:56:34,S12 03.851 W77 02.253,141,0:01:00,8
236,30/09/2025 00:57:34,S12 03.852 W77 02.269,29,0:01:00,2
237,30/09/2025 00:58:34,S12 03.859 W77 02.309,75,0:01:00,4
238,30/09/2025 00:59:34,S12 03.880 W77 02.468,291,0:01:00,17
